TYPE,SITE_ID,SITE_PID,SITE_TYPE,NAME_ENG,NAME,DESIG,DESIG_ENG,DESIG_TYPE,IUCN_CAT,INT_CRIT,REALM,REP_M_AREA,GIS_M_AREA,REP_AREA,GIS_AREA,NO_TAKE,NO_TK_AREA,STATUS,STATUS_YR,GOV_TYPE,GOVSUBTYPE,OWN_TYPE,OWNSUBTYPE,MANG_AUTH,MANG_PLAN,VERIF,METADATAID,PRNT_ISO3,ISO3,SUPP_INFO,CONS_OBJ,INLND_WTRS,OECM_ASMT
Polygon,26689,26689,PA,Canadian Rocky Mountain Parks,Parcs des montagnes Rocheuses canadiennes,World Heritage Site (natural or mixed),World Heritage Site (natural or mixed),International,Not Applicable,(vii);(viii),Terrestrial,0,0,23600,23621.4910222574,Not Applicable,0,Inscribed,1984,Not Reported,Not Applicable,Not Reported,Not Applicable,Not Reported,Not Reported,State Verified,946,CAN,CAN,Not Applicable,Not Applicable,Not Reported,Not Applicable
Polygon,92923,92923,PA,Bassleton Wood and The Holmes,Bassleton Wood and The Holmes,Local Nature Reserve,Local Nature Reserve,National,IV,Not Applicable,Terrestrial,0,0,0.1284009896,0.128492575568573,Not Applicable,0,Designated,1992,Sub-national ministry or agency,Not Applicable,Not Reported,Not Applicable,Not Reported,Not Reported,State Verified,2113,GBR,GBR,Not Applicable,Not Applicable,Not Reported,Not Applicable
Polygon,9612,9612,PA,Srebarna Nature Reserve,Réserve naturelle de Srébarna,World Heritage Site (natural or mixed),World Heritage Site (natural or mixed),International,Not Applicable,(x),Terrestrial,0,0,6.38,6.40284918125945,Not Applicable,0,Inscribed,1983,Not Reported,Not Applicable,Not Reported,Not Applicable,Not Reported,Not Reported,State Verified,946,BGR,BGR,Not Applicable,Not Applicable,Not Reported,Not Applicable
Polygon,555556888,555556888_1,PA,Kimberley,Kimberley,Australian Marine Park,Australian Marine Park,National,II,Not Applicable,Marine,6392.2895507812,6392.28958896665,6392.2895507812,6392.28957852802,All ,6392.289335689,Designated,2018,Federal or national ministry or agency,Not Applicable,Not Reported,Not Applicable,AU-DCCEEW,Not Reported,State Verified,1804,AUS,AUS,Not Applicable,Not Applicable,Not Applicable,Not Applicable
Polygon,341924,341924,PA,Ethniko ygrotopiko parko delta Evrou - Periochi prostasias tis fysis - Zoni C,Ethniko ygrotopiko parko delta Evrou - Periochi prostasias tis fysis - Zoni C,Periochi prostasias tis fysis se ethniko parko,Nature reserve zone in National Park,National,VI,Not Applicable,Terrestrial,0,3.2962945348575,52.2841845703,52.2863356746464,Not Applicable,0,Designated,2007,Federal or national ministry or agency,Not Applicable,Not Reported,Not Applicable,"Ministry of Environment, Energy and Climate Change - Directorate General for the Environment",Not Reported,State Verified,2013,GRC,GRC,Not Applicable,Not Applicable,Not Reported,Not Applicable
Polygon,659,659,PA,Ecrins,Ecrins,"Parc national, zone cœur",National Park - Core Area,National,II,Not Applicable,Terrestrial,0,0,929.94,930.934839686866,Not Applicable,0,Designated,1973,Federal or national ministry or agency,Not Applicable,Not Reported,Not Applicable,"French Ministry in charge of the environment. In march 2012, name, acronym and address as follows : Ministère de l'Écologie, du Développement durable, des Transports et du Logement (MEDDTL) 92055 La Défense Cedex France. For national parks network,",Not Reported,State Verified,2013,FRA,FRA,Not Applicable,Not Applicable,Not Reported,Not Applicable
Polygon,12896,12896,PA,Henderson Island,Île d'Henderson,World Heritage Site (natural or mixed),World Heritage Site (natural or mixed),International,Not Applicable,(vii);(x),Coastal,0,11.4366010702893,37,41.1041078637696,Not Reported,0,Inscribed,1988,Not Reported,Not Applicable,Not Reported,Not Applicable,Not Reported,Not Reported,State Verified,946,GBR,PCN,Not Applicable,Not Applicable,Not Reported,Not Applicable
Polygon,555839982,555839982,PA,Mount Kumgang – Diamond Mountain from the Sea,Mount Kumgang – Diamond Mountain from the Sea,World Heritage Site (natural or mixed),World Heritage Site (natural or mixed),International,Not Applicable,(iii);(vii),Terrestrial,0,0,198.2786,204.339520664618,Not Applicable,0,Inscribed,2025,Not Reported,Not Applicable,Not Reported,Not Applicable,Not Reported,Not Reported,State Verified,946,PRK,PRK,Not Applicable,Not Applicable,Not Reported,Not Applicable
Point,17909,17909,PA,Mount Paekdu Biosphere Reserve,Mount Paekdu Biosphere Reserve,UNESCO-MAB Biosphere Reserve,UNESCO-MAB Biosphere Reserve,International,Not Applicable,Not Applicable,Terrestrial,0,,1320,,Not Applicable,0,Designated,1989,Not Reported,Not Applicable,Not Reported,Not Applicable,Not Reported,Not Reported,State Verified,988,PRK,PRK,Not Applicable,Not Applicable,Not Reported,Not Applicable
Polygon,2015,2015,PA,Natural and Cultural Heritage of the Ohrid region,Natural and Cultural Heritage of the Ohrid region,World Heritage Site (natural or mixed),World Heritage Site (natural or mixed),International,Not Applicable,(i);(iii);(iv);(vii),Terrestrial,0,0,947.286,1011.64017948307,Not Applicable,0,Inscribed,1979,Not Reported,Not Applicable,Not Reported,Not Applicable,Not Reported,Not Reported,State Verified,946,ALB;MKD,ALB;MKD,Not Applicable,Not Applicable,Not Reported,Not Applicable
Polygon,900008,900008,PA,Isole Eolie (Aeolian Islands),Isole Eolie (Îles Eoliennes),World Heritage Site (natural or mixed),World Heritage Site (natural or mixed),International,Not Applicable,(viii),Terrestrial,0,4.19260245526369,12.16,74.4816083784632,Not Applicable,0,Inscribed,2000,Not Reported,Not Applicable,Not Reported,Not Applicable,Not Reported,Not Reported,State Verified,946,ITA,ITA,Not Applicable,Not Applicable,Not Reported,Not Applicable
Polygon,10905,10905,PA,Chitwan National Park,Parc national de Chitwan,World Heritage Site (natural or mixed),World Heritage Site (natural or mixed),International,Not Applicable,(ix);(vii);(x),Terrestrial,0,0,932,1179.69620033669,Not Applicable,0,Inscribed,1984,Not Reported,Not Applicable,Not Reported,Not Applicable,Not Reported,Not Reported,State Verified,946,NPL,NPL,Not Applicable,Not Applicable,Not Reported,Not Applicable
Polygon,198295,198295,PA,Mount Wuyi,Mont Wuyi,World Heritage Site (natural or mixed),World Heritage Site (natural or mixed),International,Not Applicable,(iii);(vi);(vii);(x),Terrestrial,0,0,1070.44,960.249955881646,Not Applicable,0,Inscribed,1999,Not Reported,Not Applicable,Not Reported,Not Applicable,Not Reported,Not Reported,State Verified,946,CHN,CHN,Not Applicable,Not Applicable,Not Reported,Not Applicable
